id,mini_lesson_id,prompt,choices,correct_answer,feedback,sort_order
"e3849e80-7dd1-484d-a772-7c621ffb56e0","36452936-f307-4308-878b-d45d03d24367","A cookie recipe makes 24 cookies and requires 3 cups of flour. How much flour is needed to make 12 cookies?","[""1 1/2 cups"",""2 cups"",""3 cups"",""6 cups""]","A","The recipe is being cut in half from 24 cookies to 12 cookies, so the flour is also cut in half from 3 cups to 1 1/2 cups.","1"
"067ae2ed-f0f9-4022-b49f-40557b7a2f27","60a05e17-984b-4ef9-9bfa-8f6d000807e8","A bread recipe uses 4 cups of flour and 2 cups of water. If you use 6 cups of flour, how much water keeps the same ratio?","[""2 cups"",""3 cups"",""4 cups"",""6 cups""]","B","The original recipe uses half as much water as flour. If the flour increases to 6 cups, the water should increase to 3 cups to keep the same ratio.","1"
"a150fb09-fff1-45be-b882-d3890e1b0417","f22fede2-5d46-4a55-9918-1849f524ce26","A pot of vegetable soup tastes bland even though the ingredients are fully cooked. What should you try first?","[""Add a small amount of salt, stir, and taste again"",""Add a full cup of sugar"",""Throw the soup away and start over"",""Add uncooked pasta directly to the soup""]","A","Bland food often needs a little more seasoning. Adding a small amount of salt and tasting again is safer than making a large change all at once.","1"
"ba0c44d1-8285-4687-8918-84875e5d1e8c","813d9eb5-395d-4120-86a3-6e553f4590e7","A curry tastes too spicy for your guests. What is the best way to reduce the perceived heat?","[""Add a creamy ingredient like yogurt or coconut milk"",""Add more chili powder"",""Add a large amount of black pepper"",""Boil it until the spice disappears""]","A","Creamy or fatty ingredients can help soften the feeling of spicy heat. Adding more spicy ingredients would make the problem worse.","1"
"a5513988-f04f-43d1-b02b-55031f42c95c","940052bc-7ec4-4c22-aab6-27298469a015","A stew tastes too salty. Which emergency adjustment is most effective?","[""Add more unsalted ingredients or liquid"",""Add more salt"",""Add extra hot sauce"",""Add baking powder""]","A","Saltiness is best reduced by diluting or stretching the dish with unsalted ingredients or liquid. This spreads the salt through more food.","1"
"73b7fd02-1425-40b0-88bf-dff39e9a7e05","78635e43-4346-4e24-9355-a3d637ea57d8","A soup is much thinner than intended. What is the best way to thicken it quickly without creating lumps?","[""Mix a thickener with cold liquid first, then stir it into the soup"",""Dump dry flour directly into the hot soup"",""Add ice cubes to the soup"",""Turn off the heat and add sugar""]","A","Mixing the thickener with cold liquid first helps prevent lumps. This makes it easier to stir smoothly into the soup.","1"
"3a2e34af-c298-4f97-9060-bc001a878810","e693925d-75ae-4a76-8424-17929cdc18e2","A cooked sauce is too thick. What is the best way to thin it while maintaining control of the texture?","[""Add a small amount of liquid at a time and stir"",""Add a full cup of liquid immediately"",""Add dry flour"",""Cook it longer without stirring""]","A","Adding liquid slowly helps you control the texture. A large amount of liquid could make the sauce too thin.","1"
"06084556-640e-4664-8e6d-87a8ed879fbc","55479ae5-c1de-4264-983f-e2d9a6cf9716","Mashed potatoes have become too watery. Which adjustment is most likely to improve their texture?","[""Add more cooked potato or potato flakes"",""Add more water"",""Add ice"",""Add vinegar""]","A","Cooked potato or potato flakes can absorb extra moisture and help thicken watery mashed potatoes.","1"
"391cc3e6-945c-4211-b076-d52fa20a0f40","4c97eb3a-d1a5-487d-8fa9-33dd8a85aaea","What is the main difference between sautéing and pan-searing?","[""Sautéing usually cooks smaller pieces while moving them, while pan-searing creates a browned crust"",""Sautéing only uses water, while pan-searing only uses sugar"",""Sautéing is always done in the oven, while pan-searing is always done in the microwave"",""Sautéing means freezing food before cooking it""]","A","Sautéing usually involves smaller pieces that are moved around in the pan. Pan-searing focuses on browning the outside of the food.","1"
"3ab7ff50-2813-4b55-8b37-555a9bcd2a6b","bd718f64-b489-4f6d-bd73-17480763c144","What usually happens when too much food is placed in a sauté pan at once?","[""The food may steam instead of brown"",""The food instantly becomes crispy"",""The pan gets colder forever"",""The food stops cooking completely""]","A","Too much food can trap moisture and lower the pan temperature. This often causes food to steam instead of brown.","1"
"1fd0cf4a-76bf-49bf-b013-0bfe792aff41","429f37a5-c7f7-45e7-b458-6afc82f64107","Why should meat usually be patted dry before pan-searing?","[""To help the surface brown better"",""To make the meat colder"",""To remove all flavor from the meat"",""To make the pan stop heating""]","A","A dry surface browns better because the pan can focus on searing instead of evaporating extra moisture.","1"
"9469b762-1348-4c9a-a679-306557bd502c","1ef8c299-5944-4efc-96dd-4059219f20e3","Which description best matches a full boil?","[""Large bubbles constantly rising and breaking the surface"",""No bubbles at all"",""A few tiny bubbles sitting at the bottom of the pot"",""Food cooking without any liquid""]","A","A full boil has strong, active bubbles that keep rising and breaking the surface of the liquid.","1"
"cbc841e7-8cc1-4768-8c8c-553470c08568","5f64657c-c54f-4fc5-8549-6d6e94a31c38","How does simmering differ from boiling?","[""Simmering uses gentler heat with smaller bubbles"",""Simmering means cooking with no heat"",""Simmering only happens in the freezer"",""Simmering uses larger bubbles than boiling""]","A","Simmering is gentler than boiling. It uses lower heat and smaller bubbles.","1"
"a086ed37-ff50-4a2f-a4e7-b489e43c0d61","43665dd4-b4fd-485f-b938-b7faf8398f28","Which cooking method uses liquid kept below a simmer to cook delicate foods gently?","[""Poaching"",""Frying"",""Roasting"",""Freezing""]","A","Poaching uses hot liquid below a simmer. It is gentle enough for delicate foods like eggs or fish.","1"
"673a9ebc-27b8-4a49-a63c-aa330db192b1","23470c76-169e-4d02-bda0-e6e8d4baea01","Which statement best explains the traditional difference between roasting and baking?","[""Roasting is often used for structured foods like vegetables or meats, while baking is often used for foods like breads, cakes, or cookies"",""Roasting only uses cold air, while baking only uses water"",""Roasting is done in the microwave, while baking is done in the freezer"",""Roasting and baking always mean exactly the same thing""]","A","Roasting and baking both use oven heat, but roasting is often used for foods like vegetables or meats, while baking is often used for foods that set or rise.","1"
"829078c3-edd1-4f9c-b6fd-b6b1576366eb","5450becc-9c92-404b-aab3-1216e669adea","Why are vegetables often spread in a single layer before roasting?","[""To help them brown instead of steam"",""To make them cook only on one side"",""To keep them completely raw"",""To make the oven colder""]","A","A single layer gives vegetables more space and helps moisture escape. This makes browning easier.","1"
"9e61439f-61a9-4cec-b5ec-1b9062ccafbf","003dbf43-5b39-4a7a-b9f4-914161c82f0a","Why is accurate measuring especially important when baking?","[""Baking depends on ingredient balance for texture and structure"",""Measuring makes food cook without heat"",""Baking recipes do not use ingredients"",""Measuring only changes the color of the oven""]","A","Baking depends on the balance between ingredients. If that balance changes too much, the texture and structure can change.","1"
"c6c4a8f5-83a6-4b74-8446-4db1a6d395e6","d60b6f3a-7a0d-42a7-ae4b-74e136e1ebcd","What is the safest way to hold food while slicing it with a chef's knife?","[""Curl your fingertips back in a claw grip"",""Keep your fingers flat and stretched out"",""Hold the food from the side closest to the blade"",""Use your palm to press down on the blade""]","A","A claw grip keeps your fingertips tucked back and helps protect them while slicing.","1"
"64db76b0-29e1-4450-930c-efe08bc3e9be","f4e660e5-d3cb-44b9-96ad-84a34266696b","What should you place under a cutting board to keep it from sliding?","[""A damp towel or non-slip mat"",""A pile of loose paper"",""A sharp knife"",""A dry onion peel""]","A","A damp towel or non-slip mat helps hold the cutting board in place so it does not slide while cutting.","1"
"95a79677-2a4b-45e1-b5a5-2fff1548d47c","65f87500-9ba6-44c6-80e6-26318350de70","Why is a sharp knife usually safer than a dull knife?","[""It cuts more easily, so less force is needed"",""It cannot cut anything"",""It makes food cook faster"",""It bends when it touches food""]","A","A sharp knife cuts with less force. A dull knife can slip more easily because you have to push harder.","1"
"172c3515-f6cf-42cd-8873-13f2a5399567","3b505a5c-b1e6-47b7-9ea2-6eae91711e6f","Which pan is best suited for searing a steak and developing a browned crust?","[""Cast iron skillet"",""Plastic mixing bowl"",""Thin disposable tray"",""Small glass cup""]","A","A cast iron skillet holds heat well, which helps steak develop a browned crust.","1"
"d173dc28-be80-4159-8491-947e6d6e4408","eb148f54-724d-4cfa-809d-dc14a0cde228","Which pan is generally best for cooking delicate eggs with minimal sticking?","[""Nonstick skillet"",""Cast iron Dutch oven"",""Baking sheet"",""Metal colander""]","A","A nonstick skillet helps delicate eggs release from the pan with less sticking.","1"
"63a5ec67-b000-47d2-aa68-8afbbb3db4e2","e0e2b0b4-702c-4952-9102-8c935ce793f6","Which baking surface is most appropriate for roasting vegetables until browned?","[""A sheet pan or baking sheet"",""A deep cereal bowl"",""A plastic container"",""A coffee mug""]","A","A sheet pan gives vegetables space so they can roast and brown instead of steaming in a crowded dish.","1"
"6fc12b1d-724c-41a9-8381-f3fbae759f18","65a07fc0-f86e-4d6b-b64a-e3c5e375bda7","You need to roll out dough but do not own a rolling pin. What is the best substitute?","[""A clean bottle or sturdy cup"",""A fork"",""A paper towel"",""A sponge""]","A","A clean bottle or sturdy cup can roll over dough in a similar way to a rolling pin.","1"
"00fbbd9b-fb93-451e-91e0-3a2fb25bb91c","7b3c8358-3f48-455a-85e5-2651ad7f91b4","You need to mash potatoes but do not have a potato masher. What should you use?","[""A sturdy fork"",""A drinking straw"",""A plastic bag"",""A measuring spoon only""]","A","A sturdy fork can press and break apart soft potatoes, making it a useful substitute for a potato masher.","1"
"c324ad0c-7486-41d9-b55d-84868c22187e","3f33119e-5cb9-4c40-b679-f1116e2856f1","You need a makeshift double boiler to melt chocolate gently. Which setup is best?","[""A heat-safe bowl set over a pot of gently simmering water"",""A plastic bowl directly on a burner"",""Chocolate placed directly in a hot dry pan on high heat"",""A paper plate over boiling water""]","A","A heat-safe bowl over gently simmering water creates gentle heat, which helps melt chocolate without burning it.","1"
"83a9a6f5-afb4-4606-bc84-8e71cbca4bb3","59cebea2-c33c-4581-bb92-5ae44f0d0163","A muffin batter uses plain yogurt to add moisture and tang. Which substitute is closest?","[""Water"",""Sour cream"",""Melted butter"",""Bread crumbs""]","B","Sour cream is thick and tangy, so it can replace plain yogurt better than a thin or dry ingredient.","1"
"99758dd8-88ce-4671-8ec2-78e9b949dc85","59cebea2-c33c-4581-bb92-5ae44f0d0163","You need whole milk for quick bread, but you only have skim milk. Which change best restores some richness?","[""Use plain water"",""Use vinegar only"",""Use skim milk with a small amount of melted butter"",""Use dry flour""]","C","Skim milk has less fat than whole milk. Adding a little melted butter helps replace some richness.","2"
"ac178725-de9f-42bf-8582-5b722c571247","18edefa6-56b8-4573-9ea6-d7bcdb122dc4","A cheesecake-style dip needs cream cheese. Which option will give the closest creamy texture?","[""Skim milk"",""Lemon juice"",""Dry oats"",""Neufchâtel cheese""]","D","Neufchâtel cheese has a texture similar to cream cheese, so it works well in creamy dips.","1"
"a13ebc53-5979-441e-8bbd-bec34285d2d2","18edefa6-56b8-4573-9ea6-d7bcdb122dc4","A baked pasta dish calls for ricotta, but you do not have any. Which substitute is most reasonable?","[""Cottage cheese"",""Orange juice"",""Vegetable oil"",""Cornstarch""]","A","Cottage cheese is soft and mild, making it a reasonable substitute for ricotta in many casseroles.","2"
"cc693383-5e9e-49ba-9e1f-3171bd365e3d","1cd382c2-470c-47b6-b986-0579af7272ce","A pasta sauce calls for half-and-half. Which substitute best matches its balance of milkiness and richness?","[""Water and lemon juice"",""Equal parts milk and heavy cream"",""Bread crumbs and oil"",""Plain broth only""]","B","Half-and-half is made from milk and cream, so combining milk and cream gives a similar richness.","1"
"0bcca56f-6a27-4633-ae7a-d1dd39226506","1cd382c2-470c-47b6-b986-0579af7272ce","A soup recipe uses whole milk, but you only have evaporated milk. What should you do before using it?","[""Add vinegar until it curdles"",""Use it as a dry powder"",""Dilute it with water"",""Replace it with oil""]","C","Evaporated milk is concentrated, so diluting it with water makes it closer to regular milk.","2"
"f29a420f-868b-45e2-ae92-00384ed448a3","df9589d0-cb5b-4387-9bff-a4558922f5ac","A soup calls for 2 tablespoons of fresh parsley, but you only have dried parsley. What is a reasonable starting amount?","[""2 tablespoons dried parsley"",""1/2 cup dried parsley"",""No parsley at all"",""2 teaspoons dried parsley""]","D","Dried herbs are stronger than fresh herbs, so about one-third as much dried herb is a good starting point.","1"
"acb3b03a-f042-4b4a-aaed-f4e9a2c44fcb","df9589d0-cb5b-4387-9bff-a4558922f5ac","A recipe uses one fresh garlic clove, but you only have garlic powder. Which amount is most appropriate?","[""About 1/8 teaspoon garlic powder"",""1 tablespoon garlic powder"",""1 cup garlic powder"",""1 teaspoon cinnamon""]","A","Garlic powder is concentrated, so a small amount can replace one fresh garlic clove.","2"
"922f6c36-008e-434d-bc7f-496195b7f254","2521595a-88af-469d-9727-9c4e97380a2f","A savory recipe calls for thyme, but none is available. Which herb is the most suitable substitute?","[""Cinnamon"",""Marjoram"",""Vanilla extract"",""Sugar""]","B","Marjoram has a mild herbal flavor that can work in many savory recipes that use thyme.","1"
"e792d9e6-632a-486b-8971-22e9aae990e6","2521595a-88af-469d-9727-9c4e97380a2f","You are roasting chicken and are out of rosemary. Which herb would be the best substitute?","[""Mint candy"",""Cocoa powder"",""Thyme"",""Powdered sugar""]","C","Thyme is savory and herbal, so it can work well in many roasted chicken recipes.","2"
"30edfe0c-5e88-456c-9769-319f28cfb855","55ddcc1a-ee62-465d-98eb-c5316612cd7a","A spice mix needs the warm flavor of allspice. Which blend is the best substitute?","[""Basil, parsley, and oregano"",""Salt, pepper, and garlic powder"",""Flour, sugar, and baking soda"",""Cinnamon, nutmeg, and cloves""]","D","Allspice has warm baking-spice flavors, so cinnamon, nutmeg, and cloves can create a similar effect.","1"
"04f1c038-4b22-43a8-b92a-3319a411018b","55ddcc1a-ee62-465d-98eb-c5316612cd7a","You are out of Italian seasoning. Which homemade mix is the closest match?","[""Dried basil, oregano, thyme, and rosemary"",""Cinnamon, nutmeg, and cloves"",""Sugar and cocoa powder"",""Vinegar and oil""]","A","Italian seasoning is usually an herbal blend, so basil, oregano, thyme, and rosemary are a close match.","2"
"d8dc2e20-0875-4d22-8433-c925dd8fa4fa","ce5e0dac-0407-4dc3-ad64-be5d7a046aec","A brownie recipe needs one egg mainly to help hold the batter together. Which fruit-based substitute makes sense?","[""1 cup water"",""1/4 cup applesauce"",""1 tablespoon salt"",""1 cup uncooked rice""]","B","Applesauce can help bind and add moisture when the egg is mainly used for binding.","1"
"83d5128b-0bf9-4ce8-8887-4f489274003d","ce5e0dac-0407-4dc3-ad64-be5d7a046aec","A banana bread recipe is missing one egg used for binding. Which substitute fits the recipe best?","[""1 cup lemon juice"",""1 tablespoon black pepper"",""1/4 cup mashed banana"",""1 cup dry pasta""]","C","Mashed banana can help bind ingredients and adds moisture, especially in banana bread.","2"
"db0af389-c7ca-4f0a-ad3d-c699134c46c6","a6683603-e1b2-444b-88e0-467e41923b45","A fruit filling needs cornstarch, but you only have arrowroot starch. What should you do?","[""Use four times as much sugar"",""Use baking powder instead"",""Use bread crumbs only"",""Use an equal amount of arrowroot starch""]","D","Arrowroot starch can often replace cornstarch in equal amounts, especially in fruit fillings.","1"
"ac6aefb7-67cd-4fc2-b4ce-a13e37ce1333","a6683603-e1b2-444b-88e0-467e41923b45","A pudding needs a starch thickener, but cornstarch is unavailable. Which substitute is most suitable?","[""Tapioca starch"",""Whole peppercorns"",""Shredded lettuce"",""Vegetable oil""]","A","Tapioca starch can help thicken puddings and other soft mixtures when cornstarch is not available.","2"
"ba3a5a11-8bd1-469e-9f0e-baec5637f7dc","bf4e6fab-2a99-4f55-a0dd-2afb9914731a","Your gravy has small lumps after thickening. What is the best way to improve it?","[""Add more dry flour without mixing"",""Whisk it well and strain it if needed"",""Freeze it immediately"",""Add whole eggs directly to the hot gravy""]","B","Whisking can break up small lumps, and straining can remove lumps that do not smooth out.","1"
"6e6c2b35-47a2-409e-b14a-6bc3338bccbf","bf4e6fab-2a99-4f55-a0dd-2afb9914731a","A savory baked loaf needs bread crumbs for binding, but you are out. Which substitute is reasonable?","[""Ice cubes"",""Lemonade"",""Rolled oats or crushed crackers"",""Whole cinnamon sticks""]","C","Rolled oats or crushed crackers can absorb moisture and help hold a savory loaf together.","2"
"49bf0015-6361-4031-84ce-c62745f17ea7","c635da14-c439-44b7-af1d-6eb902c46020","A pancake recipe makes 10 pancakes with 2 eggs. How many eggs are needed for 20 pancakes?","[""3 eggs"",""2 eggs"",""1 egg"",""4 eggs""]","D","The recipe is doubled from 10 pancakes to 20 pancakes, so the eggs double from 2 to 4.","1"
"d1d2b076-0714-4fb4-88e3-3b42eb8aa985","c635da14-c439-44b7-af1d-6eb902c46020","A recipe serves 6 and uses 1 1/2 teaspoons of salt. How much salt is needed to serve 12?","[""3 teaspoons"",""1 1/2 teaspoons"",""1 teaspoon"",""6 teaspoons""]","A","The recipe is doubled from 6 servings to 12 servings, so the salt doubles to 3 teaspoons.","2"
"4a5ee5ae-7ab7-424c-beed-53b148cf040c","5ce538f8-1c9e-40e3-80f3-16c8dd74269c","A pasta recipe serves 8 and uses 2 pounds of pasta. How much pasta is needed for 4 servings?","[""1/2 pound"",""1 pound"",""2 pounds"",""4 pounds""]","B","Four servings is half of eight servings, so the pasta is cut in half from 2 pounds to 1 pound.","1"
"a2e2d8e7-d8d7-41fc-bbb0-275a0c90230c","5ce538f8-1c9e-40e3-80f3-16c8dd74269c","A brownie recipe makes 16 squares and uses 3/4 cup cocoa powder. How much cocoa is needed for 8 squares?","[""3/4 cup"",""1 1/2 cups"",""3/8 cup"",""1/8 cup""]","C","Eight squares is half the recipe, so 3/4 cup is cut in half to 3/8 cup.","2"
"8f3e4aca-efbd-4ffc-ad66-874912da7efa","5147917e-7beb-4ac3-96fc-ae7805b53d2f","A salad dressing uses 3 tablespoons oil for every 1 tablespoon vinegar. How much oil is needed for 4 tablespoons vinegar?","[""6 tablespoons"",""4 tablespoons"",""1 tablespoon"",""12 tablespoons""]","D","The ratio is 3 parts oil to 1 part vinegar. Four tablespoons of vinegar need 12 tablespoons of oil.","1"
"af01376c-3d6b-4085-a300-253edc5054b6","5147917e-7beb-4ac3-96fc-ae7805b53d2f","A sauce recipe makes 3 cups and uses 3/4 cup tomato paste. How much tomato paste is needed for 1 cup of sauce?","[""1/4 cup"",""1/2 cup"",""3/4 cup"",""1 cup""]","A","One cup of sauce is one-third of the recipe, so 3/4 cup divided by 3 equals 1/4 cup.","2"
"eab56329-8dd7-42fb-befd-cda6bb3a0752","a8b6d843-0fca-4453-9d17-6856eba92e4f","A bean chili tastes flat, but it already has enough salt. What could add needed brightness?","[""More salt"",""A squeeze of lime juice"",""Plain flour"",""Ice cubes""]","B","If the dish is salty enough but still tastes flat, a small amount of acid can brighten the flavor.","1"
"c21be0ea-243b-4115-afe6-85ae33028b46","a8b6d843-0fca-4453-9d17-6856eba92e4f","A finished rice dish tastes one-dimensional but is already salty. Which addition is most likely to help?","[""More salt"",""A large amount of flour"",""Fresh herbs or a little lemon"",""Plain water only""]","C","Fresh herbs or a little acid can add brightness without making the rice saltier.","2"
"0c4e366c-7d7b-4982-819b-fd689873ace1","e7369603-99cb-4a22-98db-c62d64d283ed","A pot of chili is too spicy, but you do not want to make it watery. What is the best adjustment?","[""Add more chili powder"",""Add black pepper"",""Boil until the heat disappears"",""Stir in sour cream or plain yogurt""]","D","Creamy ingredients can soften perceived heat without thinning the chili as much as water would.","1"
"b461d9d4-6768-49ca-ba16-09512edba9fc","e7369603-99cb-4a22-98db-c62d64d283ed","A spicy soup is too intense for your roommate. Which add-in would most likely make it taste milder?","[""Coconut milk or cream"",""Extra hot sauce"",""More cayenne"",""Dry rice added after serving""]","A","Creamy or fatty ingredients can make spicy heat feel less harsh.","2"
"36d55712-5375-4350-8a74-88345e2560e5","b42ba307-7bf8-40ee-b8ff-f8c3ded50b55","A soup tastes too salty and there is room in the pot. Which fix is most reliable?","[""Add more salt"",""Add unsalted broth and extra vegetables"",""Add hot sauce"",""Add baking powder""]","B","Adding unsalted liquid and ingredients spreads the salt through more food.","1"
"c895b6cd-c943-44da-98f3-936eb465e920","b42ba307-7bf8-40ee-b8ff-f8c3ded50b55","A rice dish is too salty, but the texture is good. What is the best way to make it easier to eat?","[""Add more soy sauce"",""Add salt on top"",""Mix in unsalted cooked rice"",""Cook it until dry and crunchy""]","C","Unsalted rice increases the total amount of food and lowers the salty concentration.","2"
"5503538c-ee9f-498b-b362-eea3372e03db","65a2473d-75da-41b1-b685-285ec049f8c0","A pan sauce looks watery. What is the best way to thicken it without clumps?","[""Dump in dry flour"",""Add ice cubes"",""Turn off the heat and add sugar"",""Stir in a smooth slurry made with cold liquid""]","D","A slurry spreads the thickener evenly before it goes into the hot sauce.","1"
"cdcbc728-e33a-42f0-a692-a040f243649a","65a2473d-75da-41b1-b685-285ec049f8c0","A fruit filling is runny while cooking. Which method gives the smoothest thickening?","[""Mix starch with cold water first, then stir it in"",""Sprinkle dry starch over the top and leave it"",""Add oil"",""Add uncooked pasta""]","A","Mixing starch with cold liquid first helps prevent lumps.","2"
"217f1e09-2b62-4c01-a6e0-c42b1e78bda4","86dff6cc-9d3f-404e-b3e2-ab815f4a83fe","A cheese sauce becomes too thick after sitting for a few minutes. What should you do?","[""Add dry flour"",""Whisk in a small splash of warm milk"",""Boil it hard without stirring"",""Add ice cubes""]","B","Adding warm liquid slowly helps loosen the sauce while keeping control of the texture.","1"
"222d91db-8a69-4c05-b2ca-18779822151f","86dff6cc-9d3f-404e-b3e2-ab815f4a83fe","A gravy is thicker than you wanted right before serving. What is the safest fix?","[""Add a full cup of broth all at once"",""Add more dry flour"",""Whisk in small splashes of broth"",""Cook it longer""]","C","Small additions of liquid help thin the gravy without overshooting.","2"
"e791b4b4-db94-48fa-9e9f-43727bd63b4f","9c643472-22f4-42f3-8e90-e49a4745032a","A batch of cooked rice is slightly too wet. What is the best immediate fix?","[""Add more water"",""Add ice"",""Stir in dry flour"",""Uncover it and let extra moisture steam off over low heat""]","D","Letting extra moisture steam off can help wet rice become less soggy.","1"
"2ee929d8-e1fc-4538-85ff-f2b97364ee1a","9c643472-22f4-42f3-8e90-e49a4745032a","Cookie dough is dry and crumbly and will not hold together. What is the best adjustment?","[""Add a small amount of liquid or softened fat"",""Add more dry flour"",""Bake it immediately without changing anything"",""Add ice cubes""]","A","Dry, crumbly dough usually needs a small amount of moisture or fat to help it come together.","2"
"645ed9f6-724d-42df-8dab-8125c422cd0e","756a0bb8-79e0-472e-9de1-d5f7250ad658","You are cooking small diced onions while stirring them often in a little oil. Which method are you most likely using?","[""Poaching"",""Sautéing"",""Freezing"",""Baking a cake""]","B","Sautéing usually cooks smaller pieces of food while they are moved around in a pan.","1"
"e905002c-c73a-4125-8e17-708e0811eaaa","756a0bb8-79e0-472e-9de1-d5f7250ad658","You want browned tofu slabs with a crust on the outside and little movement in the pan. Which method fits best?","[""Boiling"",""Steaming"",""Pan-searing"",""Microwaving in water""]","C","Pan-searing focuses on browning the outside of food against a hot pan.","2"
"1f572ab7-3469-478f-a6da-ef59dcc1d6b7","a915ffb6-c2f8-4693-8322-85d7a3e5816d","Vegetables in a crowded skillet are releasing liquid and not browning. What should you do next time?","[""Add more vegetables at once"",""Cover the pan tightly from the start"",""Add ice"",""Cook them in smaller batches""]","D","Cooking in smaller batches gives moisture room to escape and helps browning happen.","1"
"cf2e9eaf-2b76-4974-80f3-b568760f8ad6","a915ffb6-c2f8-4693-8322-85d7a3e5816d","Why are vegetables often cut into similar-sized pieces before sautéing?","[""So they cook more evenly"",""So they become raw again"",""So they do not need heat"",""So they all taste like sugar""]","A","Similar-sized pieces cook at similar rates, which helps avoid undercooked or overcooked pieces.","2"
"ced9b621-73aa-4e89-bd92-030d9e0510d4","7b3003cb-3ade-441a-b418-15232e72f436","Chicken breasts are wet from the package before searing. What should you do first?","[""Add extra water to the pan"",""Pat the surface dry with a paper towel"",""Coat them in sugar only"",""Freeze them immediately""]","B","Drying the surface helps the chicken brown instead of steaming.","1"
